"x","y"
"13393_10812",13393,10812
"13393_11236",13393,11236
"13393_11660",13393,11660
"13393_12084",13393,12084
"13393_12508",13393,12508
"13393_12932",13393,12932
"13393_13356",13393,13356
"13393_13780",13393,13780
"13393_14204",13393,14204
"13393_14628",13393,14628
"13393_15052",13393,15052
"13847_212",13847,212
"13847_636",13847,636
"13847_1484",13847,1484
"13847_1908",13847,1908
"13847_2332",13847,2332
"13847_2756",13847,2756
"13847_3180",13847,3180
"13847_3604",13847,3604
"13847_4876",13847,4876
"13847_7420",13847,7420
"13847_7844",13847,7844
"13847_8268",13847,8268
"13847_9964",13847,9964
"13847_10388",13847,10388
"13847_10812",13847,10812
"13847_11236",13847,11236
"13847_11660",13847,11660
"13847_12084",13847,12084
"13847_12508",13847,12508
"13847_12932",13847,12932
"13847_13356",13847,13356
"13847_13780",13847,13780
"13847_14204",13847,14204
"14301_1060",14301,1060
"14301_1484",14301,1484
"14301_1908",14301,1908
"14301_3180",14301,3180
"14301_3604",14301,3604
"14301_4452",14301,4452
"14301_4876",14301,4876
"14301_6996",14301,6996
"14301_7420",14301,7420
"14301_7844",14301,7844
"14301_8268",14301,8268
"14301_8692",14301,8692
"14301_9116",14301,9116
"14301_9540",14301,9540
"14301_9964",14301,9964
"14301_10388",14301,10388
"14301_11236",14301,11236
"14301_11660",14301,11660
"14301_12084",14301,12084
"14301_12508",14301,12508
"14301_12932",14301,12932
"14301_13356",14301,13356
"14755_1060",14755,1060
"14755_1484",14755,1484
"14755_1908",14755,1908
"14755_2756",14755,2756
"14755_3180",14755,3180
"14755_3604",14755,3604
"14755_4452",14755,4452
"14755_4876",14755,4876
"14755_5300",14755,5300
"14755_5724",14755,5724
"14755_6148",14755,6148
"14755_6572",14755,6572
"14755_6996",14755,6996
"14755_7420",14755,7420
"14755_7844",14755,7844
"14755_8268",14755,8268
"14755_8692",14755,8692
"14755_9116",14755,9116
"14755_9540",14755,9540
"14755_9964",14755,9964
"14755_10388",14755,10388
"14755_10812",14755,10812
"15209_636",15209,636
"15209_1060",15209,1060
"15209_1484",15209,1484
"15209_1908",15209,1908
"15209_2332",15209,2332
"15209_2756",15209,2756
"15209_3180",15209,3180
"15209_3604",15209,3604
"15209_5300",15209,5300
"15209_5724",15209,5724
"15209_6148",15209,6148
"15209_6572",15209,6572
"15209_6996",15209,6996
"15209_7420",15209,7420
"15209_7844",15209,7844
"15209_8268",15209,8268
"15209_8692",15209,8692
"15209_10812",15209,10812
"15209_11236",15209,11236
"15209_11660",15209,11660
"15663_1060",15663,1060
"15663_1484",15663,1484
"15663_1908",15663,1908
"15663_2332",15663,2332
"15663_2756",15663,2756
"15663_3180",15663,3180
"15663_6148",15663,6148
"15663_6572",15663,6572
"15663_6996",15663,6996
"15663_7420",15663,7420
"15663_7844",15663,7844
"15663_8268",15663,8268
"16117_1060",16117,1060
"16117_1484",16117,1484
"16117_1908",16117,1908
"16117_2332",16117,2332
"16117_6996",16117,6996
"16117_7420",16117,7420
"16117_7844",16117,7844
"16117_8268",16117,8268
"16117_8692",16117,8692
"16117_9116",16117,9116
"16571_1060",16571,1060
"16571_1484",16571,1484
"16571_8268",16571,8268
"16571_8692",16571,8692
"16571_9116",16571,9116
"16571_10812",16571,10812
"16571_11236",16571,11236
"16571_11660",16571,11660
"16571_12084",16571,12084
"17025_7844",17025,7844
"17025_8268",17025,8268
"17025_8692",17025,8692
"17025_9116",17025,9116
"17025_9540",17025,9540
"17025_9964",17025,9964
"17025_10388",17025,10388
"17025_10812",17025,10812
"17025_11236",17025,11236
"17025_11660",17025,11660
"17479_7844",17479,7844
"17479_8268",17479,8268
"17479_8692",17479,8692
"17479_9116",17479,9116
"17479_9964",17479,9964
"17479_10388",17479,10388
"17479_10812",17479,10812
"17933_8268",17933,8268
"17933_8692",17933,8692
"17933_9116",17933,9116
"17933_9540",17933,9540
"17933_9964",17933,9964
