"Atrial cardiomyocytes","Capillary endothelium","Cardiac neural crest cells & Schwann progenitor cells","Endothelium / pericytes / adventitia","Epicardial cells","Epicardium-derived cells","Fibroblast-like (related to cardiac skeleton connective tissue)","Fibroblast-like (related to larger vascular development)","Fibroblast-like (related to smaller vascular development)","Myoz2-enriched cardiomyocytes","Smooth muscle cells / fibroblast-like)","Ventricular cardiomyocytes"
"1589_9964",0.0334545237847523,0.00433858161311166,3.34736872090813e-09,1.8001376087558e-09,0.00112444135889341,1.43073081935119e-08,0.0663108160078307,1.28407362296632e-09,2.31196338800687e-09,3.11663926289258e-08,7.25230517428249e-10,0.894771582292937
"1589_10388",0.0492892003834807,8.28107616241021e-10,0.119798253742021,4.35840422718959e-10,1.34188485251558e-09,3.25979493715027e-09,3.4938552658622e-09,2.86133509013441e-09,0.11572101982296,0.187765947831978,8.14342607624013e-10,0.527425565184401
"1589_10812",0.0517863099409108,3.94160128430191e-07,0.076909914261066,2.53959194730498e-07,3.93106793350687e-06,6.04014038060648e-06,2.1746118744476e-06,0.0437247299310707,0.409932290121648,1.04989197530196e-05,1.01778695482661e-06,0.417622445099085
"1589_11236",0.0109523542861083,2.29387842133482e-09,0.0986754488946913,8.98843542668234e-10,0.0504976385471581,0.0505793826528973,5.57348007049611e-09,0.102144566413323,0.0176098130231195,0.268482143040426,1.32706871517732e-09,0.401058643049006
"1589_11660",0.0269598538003842,1.39066329394967e-08,1.91580881825932e-08,0.00797204119594069,0.0448142479039845,0.138224875597345,1.67251042640223e-08,2.46028385406534e-08,0.122040356144767,5.60333152835231e-07,7.300450108723e-09,0.659987983331312
"1589_12084",0.0295394861537557,2.03102900904369e-07,0.00136626455001445,1.02142597299869e-08,0.0407451025249631,0.270050335165278,1.04402479706224e-08,0.0715156806486884,0.0883281614686825,0.190583144155117,5.96355600736151e-09,0.307871595612536
"1589_12508",0.165889100676022,0.0159842448239967,0.138502125082617,1.29563160494378e-07,0.249586106503789,3.34442589726496e-07,1.47742411259241e-07,0.0272496503516613,0.168590043867346,9.20098467978456e-07,9.87304133447837e-08,0.234197098117525
"2043_1484",0.849966521356925,0.0239716038889385,3.25628681918403e-08,7.98153082786104e-09,0.126061692829043,1.78842510931036e-08,1.8928689688072e-08,1.88796077120593e-08,1.78928878627202e-08,3.50072772583018e-08,1.36205350042574e-08,1.91674455096551e-08
"2043_1908",0.986298425290253,2.52834511544097e-09,7.06764631113918e-09,1.72784161190473e-09,0.0137015222465579,3.6529749634692e-09,3.97638403534615e-09,3.95215187910538e-09,3.74393205172043e-09,1.48882365713129e-08,3.29278808082445e-09,7.63288882608167e-09
"2043_2332",0.813025636402807,2.43936267156359e-09,1.04114471600286e-08,1.70570610483961e-09,0.186603220353754,0.00037101845351961,2.11776930684405e-08,7.03564189646486e-09,6.24627530805392e-08,8.45165515090314e-09,7.104728969192e-09,4.00093145046168e-09
"2043_2756",0.214440878557702,0.002057828497596,0.00214473291346137,0.000253225695763077,0.000703185941780544,0.00185747867291151,0.00214997054947715,0.00124155833256304,0.00160754146198018,0.717036036666604,0.00178051143057988,0.0547270512795816
"2043_4876",0.986914749334314,0.0119206703416233,1.66782872833164e-09,3.2833698304294e-10,0.00116457030564263,6.65463211147857e-10,7.12084919564765e-10,7.57734225205877e-10,6.61405285250627e-10,2.78482102380053e-09,5.76416358834289e-10,1.86432884176258e-09
"2043_5300",0.826869754789381,4.33217028701879e-09,0.164354131943648,0.00342218406328737,2.70817439628781e-09,9.04714862710930e-09,7.64939417274272e-09,0.00535385059583906,9.23476320331816e-09,2.73634897504236e-08,6.39727765631368e-09,1.18754257921893e-08
"2043_5724",0.414565160698724,8.43823470943976e-07,0.0927177107864735,4.43728147842369e-07,0.325348365953861,9.43550332253225e-06,1.03821728491346e-05,1.90301691722623e-05,0.135397730234891,1.14741186575468e-06,0.0319291098722955,6.3964492694319e-07
"2043_7420",6.05010278726407e-09,9.4425051803138e-09,2.42606900021766e-06,3.83301421038691e-09,0.598181798119164,0.267299219759015,0.0766795453727526,0.0237067595907818,1.78320736837242e-07,5.25221331449259e-09,0.0341300439373691,4.25334421492861e-09
